id,key,name,tags,solved,category,createdAt,updatedAt,difficulty,description,disabledEnv,mitigationUrl,tutorialOrder,hasCodingChallenge,codingChallengeStatus
80,twoFactorAuthUnsafeSecretStorageChallenge,Two Factor Authentication,NULL,0,Broken Authentication,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,5,"Solve the 2FA challenge for user ""wurstbrot"". (Disabling, bypassing or overwriting his 2FA settings does not count as a solution)",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Multifactor_Authentication_Cheat_Sheet.html,NULL,0,0
81,jwtUnsignedChallenge,Unsigned JWT,NULL,0,Vulnerable Components,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,5,Forge an essentially unsigned JWT token that impersonates the (non-existing) user <i>jwtn3d@juice-sh.op</i>.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/JSON_Web_Token_for_Java_Cheat_Sheet.html,NULL,0,0
82,uploadSizeChallenge,Upload Size,NULL,0,Improper Input Validation,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,3,Upload a file larger than 100 kB.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/File_Upload_Cheat_Sheet.html,NULL,0,0
83,uploadTypeChallenge,Upload Type,NULL,0,Improper Input Validation,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,3,Upload a file that has no .pdf or .zip extension.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/File_Upload_Cheat_Sheet.html,NULL,0,0
84,unionSqlInjectionChallenge,User Credentials,With Coding Challenge,0,Injection,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,4,Retrieve a list of all user credentials via SQL Injection.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,NULL,1,0
85,videoXssChallenge,Video XSS,Danger Zone,0,XSS,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,6,Embed an XSS payload <code>&lt;/script&gt;&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> into our promo video. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,0,0
86,basketAccessChallenge,View Basket,"Tutorial,Good for Demos",0,Broken Access Control,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,2,View another user's shopping basket.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,10,0,0
87,knownVulnerableComponentChallenge,Vulnerable Library,OSINT,0,Vulnerable Components,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,4,"<a href=""/#/contact"">Inform the shop</a> about a vulnerable library it is using. (Mention the exact library name and version in your comment)",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerability_Disclosure_Cheat_Sheet.html,NULL,0,0
88,weirdCryptoChallenge,Weird Crypto,NULL,0,Cryptographic Issues,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,2,"<a href=""/#/contact"">Inform the shop</a> about an algorithm or library it should definitely not use the way it does.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerability_Disclosure_Cheat_Sheet.html,NULL,0,0
89,redirectChallenge,Allowlist Bypass,"Prerequisite,With Coding Challenge",0,Unvalidated Redirects,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,4,Enforce a redirect to a page you are not supposed to redirect to.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Unvalidated_Redirects_and_Forwards_Cheat_Sheet.html,NULL,1,0
90,xxeFileDisclosureChallenge,XXE Data Access,Danger Zone,0,XXE,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,3,Retrieve the content of <code>C:\\Windows\\system.ini</code> or <code>/etc/passwd</code> from the server. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/XML_External_Entity_Prevention_Cheat_Sheet.html,NULL,0,0
91,xxeDosChallenge,XXE DoS,Danger Zone,0,XXE,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,5,Give the server something to chew on for quite a while. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/XML_External_Entity_Prevention_Cheat_Sheet.html,NULL,0,0
92,yamlBombChallenge,Memory Bomb,Danger Zone,0,Insecure Deserialization,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,5,Drop some explosive data into a vulnerable file-handling endpoint. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html,NULL,0,0
93,zeroStarsChallenge,Zero Stars,NULL,0,Improper Input Validation,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,1,Give a devastating zero-star feedback to the store.,NULL,NULL,NULL,0,0
94,missingEncodingChallenge,Missing Encoding,Shenanigans,0,Improper Input Validation,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,1,"Retrieve the photo of Bjoern's cat in ""melee combat-mode"".",NULL,NULL,NULL,0,0
95,svgInjectionChallenge,Cross-Site Imaging,Contraption,0,Security Misconfiguration,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,5,"Stick <a href=""https://cataas.com/cat"" target=""_blank"">cute cross-domain kittens</a> all over our delivery boxes.",NULL,NULL,NULL,0,0
96,exposedMetricsChallenge,Exposed Metrics,"Good Practice,With Coding Challenge",0,Sensitive Data Exposure,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,1,"Find the endpoint that serves usage data to be scraped by a <a href=""https://github.com/prometheus/prometheus"">popular monitoring system</a>.",NULL,NULL,NULL,1,0
97,freeDeluxeChallenge,Deluxe Fraud,NULL,0,Improper Input Validation,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,3,Obtain a Deluxe Membership without paying for it.,NULL,NULL,NULL,0,0
98,csrfChallenge,CSRF,NULL,0,Broken Access Control,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,3,"Change the name of a user by performing Cross-Site Request Forgery from <a href=""http://htmledit.squarefree.com"">another origin</a>.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html,NULL,0,0
99,xssBonusChallenge,Bonus Payload,"Shenanigans,Tutorial,With Coding Challenge",0,XSS,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,1,Use the bonus payload <code>&lt;iframe width=&quot;100%&quot; height=&quot;166&quot; scrolling=&quot;no&quot; frameborder=&quot;no&quot; allow=&quot;autoplay&quot; src=&quot;https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/771984076&amp;color=%23ff5500&amp;auto_play=true&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;show_teaser=true&quot;&gt;&lt;/iframe&gt;</code> in the <i>DOM XSS</i> challenge.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/DOM_based_XSS_Prevention_Cheat_Sheet.html,3,1,0
100,resetPasswordUvoginChallenge,Reset Uvogin's Password,"OSINT,With Coding Challenge",0,Sensitive Data Exposure,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,4,"Reset Uvogin's password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Choosing_and_Using_Security_Questions_Cheat_Sheet.html,NULL,1,0
101,geoStalkingMetaChallenge,Meta Geo Stalking,OSINT,0,Sensitive Data Exposure,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,2,"Determine the answer to John's security question by looking at an upload of him to the Photo Wall and use it to reset his password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Choosing_and_Using_Security_Questions_Cheat_Sheet.html,NULL,0,0
102,geoStalkingVisualChallenge,Visual Geo Stalking,OSINT,0,Sensitive Data Exposure,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,2,"Determine the answer to Emma's security question by looking at an upload of her to the Photo Wall and use it to reset her password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Choosing_and_Using_Security_Questions_Cheat_Sheet.html,NULL,0,0
103,killChatbotChallenge,Kill Chatbot,Code Analysis,0,Vulnerable Components,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,5,Permanently disable the support chatbot so that it can no longer answer customer queries.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerable_Dependency_Management_Cheat_Sheet.html,NULL,0,0
104,nullByteChallenge,Poison Null Byte,Prerequisite,0,Improper Input Validation,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,4,"Bypass a security control with a <a href=""https://hakipedia.com/index.php/Poison_Null_Byte"">Poison Null Byte</a> to access a file not meant for your eyes.",NULL,NULL,NULL,0,0
105,bullyChatbotChallenge,Bully Chatbot,"Shenanigans,Brute Force",0,Miscellaneous,2026-03-09 08:48:38.162 +00:00,2026-03-09 08:48:38.162 +00:00,1,Receive a coupon code from the support chatbot.,NULL,NULL,NULL,0,0
106,lfrChallenge,Local File Read,"OSINT,Danger Zone",0,Vulnerable Components,2026-03-09 08:48:38.162 +00:00,2026-03-09 08:48:38.162 +00:00,5,Gain read access to an arbitrary local file on the web server. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,NULL,NULL,0,0
107,closeNotificationsChallenge,Mass Dispel,NULL,0,Miscellaneous,2026-03-09 08:48:38.162 +00:00,2026-03-09 08:48:38.162 +00:00,1,"Close multiple ""Challenge solved""-notifications in one go.",NULL,NULL,NULL,0,0
108,csafChallenge,Security Advisory,NULL,0,Miscellaneous,2026-03-09 08:48:38.162 +00:00,2026-03-09 08:48:38.162 +00:00,3,"The Juice Shop is susceptible to a known vulnerability in a library, for which an advisory has already been issued, marking the Juice Shop as <i>known affected</i>. A fix is still pending. <a href=""/#/contact"">Inform the shop</a> about a suitable checksum as proof that you did your due diligence.",NULL,NULL,NULL,0,0
109,exposedCredentialsChallenge,Exposed credentials,NULL,0,Sensitive Data Exposure,2026-03-09 08:48:38.162 +00:00,2026-03-09 08:48:38.162 +00:00,2,"A developer was careless with hardcoding unused, but still valid credentials for a testing account on the client-side.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Secrets_Management_Cheat_Sheet.html,6,0,0
110,leakedApiKeyChallenge,Leaked API Key,NULL,0,Sensitive Data Exposure,2026-03-09 08:48:38.162 +00:00,2026-03-09 08:48:38.162 +00:00,5,"<a href=""/#/contact"">Inform the shop</a> about a leaked API key. (Mention the exact key in your comment)",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Secrets_Management_Cheat_Sheet.html,NULL,0,0

